IKr	t
0.00114466247243	22.4
0.00526127461529	22.5
0.00145637818671	22.6
-0.000528351099	22.7
-0.00972504181329	22.8
0.00156645818671	22.9
0.00555881961529	23.0
0.00588578532957	23.1
0.00222912175814	23.2
-0.00235395467043	23.3
0.000701061186714	23.4
-0.00801604395614	23.5
-0.00526402552757	23.6
-0.00280628824186	23.7
0.00420732132957	23.8
-0.004828061099	23.9
0.00340187432957	24.0
-0.00207168352757	24.1
-0.00419590852757	24.2
-0.00296430867043	24.3
0.00512393161529	24.4
0.00558061532957	24.5
-0.00191254195614	24.6
-0.00558880667043	24.7
-0.00679099681329	24.8
-0.00587218895614	24.9
0.00466072818671	25.0
-0.000701641527571	25.1
0.00385963532957	25.2
0.0108688817581	25.3
0.00355666961529	25.4
-0.003122351099	25.5
